"建築基準法の全体像
・総○○、手○○関連
・集○○規定
・単○○規定","建築基準法の全体像
・総則、手続き関連
・集団規定
・単体規定"
"木造建築物の構造計算対象の規模：
規模：階数○○～○○、面積○○m2以下、高さ○○m以下
構造計算の手法：仕様規定（構造計算不要）","木造建築物の構造計算対象の規模：
規模：階数1～2、面積300m2以下、高さ16m以下
構造計算の手法：仕様規定（構造計算不要）"
"限界耐力計算：令○○条2項
層間変位○○：1/○○以内
（地震力により著しい損傷のおそれが無さそうな場合1/○○以内）

※概要くらい書きたいなぁー。","限界耐力計算：令81条2項
層間変位の割合：1/200以内
（地震力により著しい損傷のおそれが無さそうな場合1/120以内）

※概要くらい書きたいなぁー。"
"保有水平耐力計算：令81条2項
層間変形○○：1/○○以内
（地震力により著しい損傷のおそれが無さそうな場合1/○○以内）

※概要くらい書きたいなぁ","保有水平耐力計算：令81条2項
層間変形角：1/200以内
（地震力により著しい損傷のおそれが無さそうな場合1/120以内）

※概要くらい書きたいなぁ"
"許容応力度等計算：令81条2項
剛性率：○○/10以上
偏心率：○○/100以内","許容応力度等計算：令81条2項
剛性率：6/10以上
偏心率：15/100以内"
"地盤および基礎杭：令93条
地盤の許容応力度、及び、基礎杭の許容支持力は、
地○○結果による。
地盤の場合、その種類に応じた規○○数値でもよい。","地盤および基礎杭：令93条
地盤の許容応力度、及び、基礎杭の許容支持力は、
地盤調査結果による。
地盤の場合、その種類に応じた規定数値でもよい。"
"一の建築物をExp.Jで分離：法20条2項、令36条の4
一の建築物であっても、Exp.Jで接している場合は、
構造計算方法の適用は、それぞれ○○建築物とみなす。","一の建築物をExp.Jで分離：法20条2項、令36条の4
一の建築物であっても、Exp.Jで接している場合は、
構造計算方法の適用は、それぞれ別の建築物とみなす。"
"構造計算と、構造計算適合性判定
※理解して書く","■構造計算と、構造計算適合性判定
※理解して書く"
"構造適判の対象建築物
①高さ○○m超の建築物以外で下記のもの
1.木造で○○階以上 or 高さ○○m超
2.鉄骨造で○○階以上
3.RC造で高さ○○m超など
※60m超の建築物は、大臣認定となり構造計算適合判定から除かれる。

②限○○計算、保○○計算、許○○計算によるもの

③許○○計算で、大○○プログラムによるもの","構造適判の対象建築物
①高さ60m超の建築物以外で下記のもの
1.木造で4階以上 or 高さ16m超
2.鉄骨造で4階以上
3.RC造で高さ20m超など
※60m超の建築物は、大臣認定となり構造計算適合判定から除かれる。

②限界耐力計算、保有水平耐力計算、許容応力度等計算によるもの

③許容応力度計算で、大臣認定プログラムによるもの"
"適合判定通知書の提出：法6条の3第8項
確認申請を提出した場合に、
審査期間の末日○○日前までに
指○○判定機関から交付された、
適○○通知書を、
建○○事等に提出しなければならない","適合判定通知書の提出：法6条の3第8項
確認申請を提出した場合に、
審査期間の末日3日前までに
指定構造計算適合性判定機関から交付された、
適合判定通知書を、
建築主事等に提出しなければならない"
"構造適判が不要な場合
①簡易である令9条の3の許容応力度等計算について、
特定建築基準適合判定資格者の建築主事or確認検査員が、確認審査する場合は、不要。","構造適判が不要な場合
・簡易である令9条の3の許容応力度等計算について、
特定建築基準適合判定資格者の建築主事or確認検査員が、
確認審査する場合は不要"
"■既存建築物の増改築
※整理して書く","■既存建築物の増改築
※整理して書く"
"■荷重および外力
※書く","■荷重および外力
※書く"
"積雪荷重の計算式
単位荷重x屋根の水平投影面積xその地方の垂直積雪量
※単位荷重は○○cmごとに○○N/m2以上とする","積雪荷重の計算式
単位荷重x屋根の水平投影面積xその地方の垂直積雪量
※単位荷重は1cmごとに20N/m2以上とする"
"風圧力の計算式
速度圧(風速ではない)x風力係数
※速度圧は、風を遮る他の建築物・防風林等があれば、1/○○まで減らせる","風圧力の計算式
速度圧(風速ではない)x風力係数
※速度圧は、風を遮る他の建築物・防風林等があれば、1/2まで減らせる"
"地震力の計算式
当該高さの地震層せん断力係数x荷重の和
（荷重の和：固定荷重+積載荷重+積雪荷重）","地震力の計算式
当該高さの地震層せん断力係数x荷重の和
（荷重の和：固定荷重+積載荷重+積雪荷重）"
"特定天井の該当箇所
高さ：○○m超
面積：○○m2超
質量：○○kg/m2超の吊り天井
人が○○利用する場所","特定天井の該当箇所
高さ：6m超
面積：200m2超
質量：2kg/m2超の吊り天井
人が日常利用する場所"
"給湯設備の転倒防止：H12建告1388号
給湯設備が転倒、移動しないこと。","給湯設備の転倒防止：H12建告1388号
給湯設備が転倒、移動しないこと。"
【014防火規定①】,【014防火規定①】
■防火に関する用語,■防火に関する用語
"耐火性能の分類：令107条
①最上階から階数○○まで
②最上階から階数○○以上～○○以内
③最上階から階数○○以上～○○以内
④最上階から階数○○以上～○○以内
⑤最上階から階数○○以上
※地階ほど厳しい","耐火性能の分類：令107条
①最上階から階数4まで
②最上階から階数5以上～9以内
③最上階から階数10以上～14以内
④最上階から階数15以上～19以内
⑤最上階から階数20以上
※地階ほど厳しい"
"耐火性能：法2条7号、令107条
柱、梁の階数ごとの耐火の性能（非損傷性）
①1.0時間
②1.5時間
③2.0時間
④2.5時間
⑤3.0時間

耐力壁、床：最大2.0時間
屋根、階段：30分間","耐火性能：法2条7号、令107条
柱、梁の階数ごとの耐火の性能（非損傷性）
①1.0時間
②1.5時間
③2.0時間
④2.5時間
⑤3.0時間

耐力壁、床：最大2.0時間
屋根、階段：30分間"
"準耐火性能：令107条の2
耐力壁、柱、床、梁：45分間
屋根、階段：30分間","準耐火性能：令107条の2
耐力壁、柱、床、梁：45分間
屋根、階段：30分間"
"1時間準耐火構造：令112条2項、告示195号
壁、柱、床、梁：1時間","1時間準耐火構造：令112条2項、告示195号
壁、柱、床、梁：1時間"
"防火構造：法2条八号、令108条
部位：外壁、軒裏
要求時間：○○分間","防火構造：法2条八号、令108条
部位：外壁、軒裏
要求時間：○○分間"
