【001請負契約】,,【001請負契約】,
"・山留工法の種類：
①法付けオ○○カット：シンプル。切梁不要。敷地に余裕がある場合に適してる
②親○○工法：親杭（H形鋼）を打って、掘削して、横矢板をはめる工法。
③鋼○○壁：
④場○○壁
⑤ソ○○壁",,"・山留工法の種類：
①法付けオープンカット：シンプル。切梁不要。敷地に余裕がある場合に適してる
②親杭横矢板工法：親杭（H形鋼）を打って、掘削して、横矢板をはめる工法。
③鋼矢板壁：
④場所打ちRC地中壁
⑤ソイルセメント壁",
"・山留め支保工
③水○○工法
④地○○工法",,"・山留め支保工
③水平切梁工法
④地盤アンカー工法",
"・その他工法
⑤逆○○工法
⑥ア○○工法：山留して切梁無しで中心部だけ先に作る。で次に外周部を切梁有りで施工。（施工が2段階になるが、切梁の施工が楽）",,"・その他工法
⑤逆打工法
⑥アイランド工法：山留して切梁無しで中心部だけ先に作る。で次に外周部を切梁有りで施工。（施工が2段階になるが、切梁の施工が楽）",
"・山留壁の種類：
親○○板、
鋼○○板（シートパイル）、
ソ○○壁（SMW）",,"・山留壁の種類：
親杭横矢板、
鋼矢板（シートパイル）、
ソイルセメント柱列壁（SMW）",
"・浅い掘削での山留め壁不要となる基準：掘削深さ5m未満
硬い粘土：掘削深さ○○m未満 、山留め壁○○要、 法面○○度以下。
硬い粘土：掘削深さ○○m以上、山留め壁○○要、法面○○度以下。
砂の地山：掘削深さ○○m未満 、山留め壁○○要、 法面○○度以下。
※法面途中で水平面は、「小段」と呼び、上と下とで別々の斜面として扱うOK。",,"・浅い掘削での山留め壁不要となる基準：掘削深さ5m未満
硬い粘土：掘削深さ5m未満 、山留め壁不要、 法面90度以下。
硬い粘土：掘削深さ5m以上、山留め壁必要、法面75度以下。
砂の地山：掘削深さ5m未満 、山留め壁不要、 法面35度以下。
※法面途中で水平面は、「小段」と呼び、上と下とで別々の斜面として扱うOK。",
"・鋼矢板（シートパイル）引き抜き箇所の埋め戻す土質：
砂○○土（砂）、
セ○○液、
モ○○ル等。",,"・鋼矢板（シートパイル）引き抜き箇所の埋め戻す土質：
砂質土（砂）、
セメントベントナイト液、
モルタル等。",
"・親杭横矢板は埋め戻し時に一枚ずつ引き抜く。
理由：腐って空洞になって周辺が地盤沈下するから。",,"・親杭横矢板は埋め戻し時に一枚ずつ引き抜く。
理由：腐って空洞になって周辺が地盤沈下するから。",
■地下水の排水工法,,■地下水の排水工法,
"地下水の排水工法種類：
釜○○工法、
デ○○工法、
ウ○○工法",,"地下水の排水工法種類：
釜場排水工法、
ディープウェル工法、
ウェルポイント工法",
"・ディープウェルとウェルポイントの違い。
ディープウェルは井戸を掘って、ポンプで汲み上げ。
ウェルポイントは集水管（ライザーパイプ）を打ち込んでポンプ汲み上げ。",,"・ディープウェルとウェルポイントの違い。
ディープウェルは井戸を掘って、ポンプで汲み上げ。
ウェルポイントは集水管（ライザーパイプ）を打ち込んでポンプ汲み上げ。",
"■地業の異常現象
種類
①ヒ○○：軟弱な粘性土地盤。内側の根切底がふくれ上がる現象
②ボ○○：周囲の水が流れ、内側の根切底が液状化する現象。
③盤○○：被圧地下水からの水圧で掘削底面の不透水性の土層がふくれ上がる現象",,"■地業の異常現象
種類
①ヒービング：軟弱な粘性土地盤。内側の根切底がふくれ上がる現象
②ボイリング：周囲の水が流れ、内側の根切底が液状化する現象。
③盤ぶくれ：被圧地下水からの水圧で掘削底面の不透水性の土層がふくれ上がる現象",
【009基礎・地業工事】,,【009基礎・地業工事】,
■杭工法,,■杭工法,
"・既成杭工法の種類：
打○○杭工法、
埋○○杭工法、
回○○杭工法",,"・既成杭工法の種類：
打込み杭工法、
埋め込み杭工法、
回転杭工法",
"・打込み杭工法の種類：
打○○工法、
バ○○工法、
プ○○工法",,"・打込み杭工法の種類：
打撃工法、
バイブロハンマ工法、
プレボーリング併用打撃工法",
"・埋め込み杭工法の種類：
セ○○工法（プレボーリング工法）、
中○○工法、
鋼○○杭工法",,"・埋め込み杭工法の種類：
セメントミルク工法（プレボーリング工法）、
中堀工法、
鋼管ソイルセメント杭工法",
"・場所打ち杭工法の種類：
機○○工法、
深○○工法",,"・場所打ち杭工法の種類：
機械掘削工法、
深礎工法",
"・機械掘削工法の種類：
オ○○工法：ケーシングチューブで孔壁保護。ハンマークラブで排土。
ア○○工法：ベントナイト安定液で孔壁保護。ドリリングバケットに土を溜めて引き上げ。
リ○○工法：孔内水位を高くし水圧で孔壁保護。孔内に水を循環し、泥水として吸い上げる。",,"・機械掘削工法の種類：
オールケーシング工法：ケーシングチューブで孔壁保護。ハンマークラブで排土。
アースドリル工法：ベントナイト安定液で孔壁保護。ドリリングバケットに土を溜めて引き上げ。
リバースサーキュレーション工法：孔内水位を高くし水圧で孔壁保護。孔内に水を循環し、泥水として吸い上げる。",
"■既製杭の打込み工法
・打ち込み完了後の杭頭の水平方向精度の目安：
杭径1/○○以内かつ○○mm以内",,"■既製杭の打込み工法
・打ち込み完了後の杭頭の水平方向精度の目安：
杭径1/4以内かつ100mm以内",
"■既製杭のセメントミルク工法（プレボーリング工法）
・支持地盤への根入れ深さ：○○m以上
・余堀り量：○○m以内
・オーガーの引き上げ時の回転方向：○○回転",,"■既製杭のセメントミルク工法（プレボーリング工法）
・支持地盤への根入れ深さ：1m以上
・余堀り量：0.5m以内
・オーガーの引き上げ時の回転方向：正回転",
